t,ch1,ch2,ch3
-4.93E-07,-0.02256,0.089328066,0.0071146246
-4.92E-07,-0.00666,0.089328066,0.015019763
-4.91E-07,-0.00666,0.24743083,0.0071146246
-4.90E-07,-0.01469,-0.0687747,0.22845849
-4.89E-07,-0.00666,0.40553358,0.070355728
-4.88E-07,0.009091,-0.0687747,0.015019763
-4.87E-07,0.009091,0.089328066,-0.016600791
-4.86E-07,-0.00666,0.089328066,0.022924902
-4.85E-07,-0.03043,0.089328066,0.022924902
-4.84E-07,0.001217,0.089328066,0.015019763
-4.83E-07,0.016965,0.24743083,0.0071146246
-4.82E-07,-0.02256,0.40553358,-0.00079051382
-4.81E-07,-0.00666,0.089328066,0.0071146246
-4.80E-07,-0.01469,0.24743083,0.015019763
-4.79E-07,-0.01469,0.24743083,0.030830039
-4.78E-07,-0.00666,0.089328066,0.18893281
-4.77E-07,0.001217,0.24743083,0.062450591
-4.76E-07,-0.01469,0.089328066,-0.0086956518
-4.75E-07,-0.02256,0.089328066,-0.016600791
-4.74E-07,0.001217,0.089328066,0.022924902
-4.73E-07,-0.00666,0.089328066,0.022924902
-4.72E-07,-0.00666,0.24743083,0.015019763
-4.71E-07,-0.01469,0.24743083,0.0071146246
-4.70E-07,-0.02256,0.089328066,0.0071146246
-4.69E-07,-0.02256,0.089328066,0.0071146246
-4.68E-07,-0.00666,0.089328066,0.015019763
-4.67E-07,-0.02256,0.56363636,0.09407115
-4.66E-07,-0.00666,0.089328066,0.15731226
-4.65E-07,-0.02256,0.40553358,0.054545455
-4.64E-07,0.009091,0.089328066,-0.016600791
-4.63E-07,-0.02256,0.089328066,-0.00079051382
-4.62E-07,0.001217,0.40553358,0.038735177
-4.61E-07,-0.02256,0.089328066,0.046640318
-4.60E-07,-0.01469,0.089328066,0.0071146246
-4.59E-07,-0.03043,0.24743083,0.0071146246
-4.58E-07,-0.01469,0.089328066,0.015019763
-4.57E-07,-0.01469,-0.0687747,0.0071146246
-4.56E-07,0.009091,0.24743083,0.015019763
-4.55E-07,-0.01469,0.24743083,0.17312253
-4.54E-07,-0.00666,0.24743083,0.1256917
-4.53E-07,0.024839,0.089328066,0.038735177
-4.52E-07,0.016965,0.40553358,-0.016600791
-4.51E-07,-0.03043,-0.0687747,-0.0086956518
-4.50E-07,-0.00666,0.24743083,0.030830039
-4.49E-07,-0.00666,0.089328066,0.022924902
-4.48E-07,-0.02256,0.089328066,-0.00079051382
-4.47E-07,0.009091,0.24743083,-0.00079051382
-4.46E-07,0.016965,0.24743083,-0.00079051382
-4.45E-07,-0.02256,0.089328066,0.015019763
-4.44E-07,0.016965,0.089328066,0.0071146246
-4.43E-07,-0.00666,0.089328066,0.22055335
-4.42E-07,-0.00666,0.24743083,0.10197628
-4.41E-07,-0.01469,0.089328066,0.030830039
-4.40E-07,-0.02256,0.40553358,-0.016600791
-4.39E-07,-0.03043,0.089328066,0.0071146246
-4.38E-07,-0.02256,0.24743083,0.030830039
-4.37E-07,-0.00666,0.40553358,0.015019763
-4.36E-07,-0.02256,0.089328066,0.0071146246
-4.35E-07,-0.01469,0.24743083,-0.00079051382
-4.34E-07,-0.01469,0.089328066,0.015019763
-4.33E-07,-0.02256,0.24743083,0.015019763
-4.32E-07,0.001217,0.089328066,0.0071146246
-4.31E-07,0.001217,0.089328066,0.22845849
-4.30E-07,0.009091,0.089328066,0.086166009
-4.29E-07,-0.00666,0.089328066,0.0071146246
-4.28E-07,-0.01469,-0.0687747,-0.0086956518
-4.27E-07,0.001217,0.089328066,0.015019763
-4.26E-07,-0.01469,-0.0687747,0.030830039
-4.25E-07,-0.02256,0.24743083,0.022924902
-4.24E-07,0.016965,0.089328066,-0.00079051382
-4.23E-07,-0.02256,0.24743083,0.0071146246
-4.22E-07,-0.03043,0.089328066,0.0071146246
-4.21E-07,-0.01469,0.089328066,0.015019763
-4.20E-07,0.009091,0.089328066,0.030830039
-4.19E-07,0.009091,0.40553358,0.19683795
-4.18E-07,0.001217,0.24743083,0.070355728
-4.17E-07,-0.01469,0.24743083,-0.0086956518
-4.16E-07,0.016965,0.089328066,-0.0086956518
-4.15E-07,-0.00666,0.24743083,0.030830039
-4.14E-07,0.001217,0.089328066,0.022924902
-4.13E-07,-0.00666,0.089328066,0.022924902
-4.12E-07,-0.02256,0.24743083,0.0071146246
-4.11E-07,-0.02256,0.089328066,0.0071146246
-4.10E-07,-0.01469,-0.0687747,0.015019763
-4.09E-07,-0.01469,0.24743083,0.030830039
-4.08E-07,0.009091,0.089328066,0.070355728
-4.07E-07,0.009091,0.089328066,0.16521738
-4.06E-07,0.001217,-0.0687747,0.046640318
-4.05E-07,0.016965,0.40553358,-0.016600791
-4.04E-07,0.001217,0.089328066,-0.0086956518
-4.03E-07,-0.02256,0.089328066,0.022924902
-4.02E-07,-0.01469,0.089328066,0.030830039
-4.01E-07,-0.03043,0.24743083,0.0071146246
-4.00E-07,-0.01469,-0.0687747,0.0071146246
-3.99E-07,-0.01469,0.24743083,0.0071146246
-3.98E-07,0.001217,-0.0687747,0.0071146246
-3.97E-07,-0.00666,0.089328066,0.015019763
-3.96E-07,-0.00666,0.089328066,0.14940712
-3.95E-07,0.001217,-0.0687747,0.14150198
-3.94E-07,0.001217,0.089328066,0.046640318
-3.93E-07,0.009091,0.40553358,-0.016600791
-3.92E-07,0.024839,0.24743083,0.0071146246
-3.91E-07,-0.00666,0.089328066,0.038735177
-3.90E-07,-0.02256,0.24743083,0.022924902
-3.89E-07,-0.00666,0.24743083,0.015019763
-3.88E-07,-0.01469,0.40553358,-0.00079051382
-3.87E-07,-0.00666,0.089328066,0.0071146246
-3.86E-07,-0.00666,0.24743083,0.015019763
-3.85E-07,-0.00666,0.089328066,0.0071146246
-3.84E-07,-0.00666,0.24743083,0.20474309
-3.83E-07,-0.02256,0.24743083,0.10988142
-3.82E-07,0.001217,0.24743083,0.030830039
-3.81E-07,0.001217,0.24743083,-0.016600791
-3.80E-07,0.001217,0.24743083,0.0071146246
-3.79E-07,-0.03043,0.24743083,0.038735177
-3.78E-07,-0.01469,0.40553358,0.022924902
-3.77E-07,-0.00666,0.089328066,-0.00079051382
-3.76E-07,-0.01469,0.24743083,0.0071146246
-3.75E-07,0.001217,0.089328066,0.0071146246
-3.74E-07,-0.00666,0.24743083,0.015019763
-3.73E-07,-0.01469,0.089328066,0.0071146246
-3.72E-07,0.001217,-0.0687747,0.22845849
-3.71E-07,0.001217,0.089328066,0.09407115
-3.70E-07,-0.00666,0.24743083,0.015019763
-3.69E-07,-0.00666,0.089328066,-0.0086956518
-3.68E-07,-0.02256,-0.0687747,0.015019763
-3.67E-07,-0.02256,0.089328066,0.022924902
-3.66E-07,-0.03043,-0.22687747,0.015019763
-3.65E-07,-0.03043,0.089328066,-0.0086956518
-3.64E-07,-0.00666,0.40553358,-0.00079051382
-3.63E-07,0.001217,0.24743083,-0.00079051382
-3.62E-07,0.016965,0.24743083,0.0071146246
-3.61E-07,-0.03043,0.40553358,0.015019763
-3.60E-07,-0.00666,0.24743083,0.20474309
-3.59E-07,-0.01469,0.24743083,0.070355728
-3.58E-07,-0.03831,0.24743083,-0.00079051382
-3.57E-07,-0.00666,-0.0687747,-0.0086956518
-3.56E-07,0.009091,0.089328066,0.022924902
-3.55E-07,-0.00666,0.24743083,0.022924902
-3.54E-07,0.001217,0.40553358,0.0071146246
-3.53E-07,0.001217,0.089328066,0.015019763
-3.52E-07,0.001217,0.089328066,0.0071146246
-3.51E-07,-0.02256,0.089328066,0.015019763
-3.50E-07,-0.00666,0.40553358,0.0071146246
-3.49E-07,-0.03043,0.089328066,0.038735177
-3.48E-07,-0.01469,0.089328066,0.16521738
-3.47E-07,-0.00666,0.24743083,0.046640318
-3.46E-07,0.009091,-0.0687747,-0.00079051382
-3.45E-07,0.009091,0.24743083,-0.016600791
-3.44E-07,-0.01469,0.089328066,0.022924902
-3.43E-07,-0.01469,0.24743083,0.022924902
-3.42E-07,-0.00666,0.089328066,0.015019763
-3.41E-07,-0.00666,0.089328066,0.0071146246
-3.40E-07,-0.03043,-0.0687747,-0.00079051382
-3.39E-07,0.024839,0.089328066,0.015019763
-3.38E-07,-0.01469,0.40553358,0.015019763
-3.37E-07,-0.04618,0.40553358,0.1256917
-3.36E-07,-0.00666,0.24743083,0.14940712
-3.35E-07,-0.01469,0.24743083,0.046640318
-3.34E-07,0.001217,0.24743083,-0.0086956518
-3.33E-07,-0.01469,0.089328066,0.0071146246
-3.32E-07,-0.01469,0.089328066,0.030830039
-3.31E-07,0.001217,0.40553358,0.022924902
-3.30E-07,0.001217,0.089328066,0.015019763
-3.29E-07,-0.00666,-0.0687747,-0.00079051382
-3.28E-07,0.009091,0.089328066,0.015019763
-3.27E-07,0.016965,0.24743083,0.015019763
-3.26E-07,-0.01469,0.089328066,0.015019763
-3.25E-07,0.009091,0.089328066,0.19683795
-3.24E-07,-0.01469,0.089328066,0.11778656
-3.23E-07,-0.00666,0.40553358,0.030830039
-3.22E-07,-0.00666,0.089328066,-0.016600791
-3.21E-07,-0.01469,0.40553358,-0.00079051382
-3.20E-07,0.009091,0.24743083,0.030830039
-3.19E-07,-0.00666,-0.0687747,0.015019763
-3.18E-07,-0.02256,0.24743083,-0.00079051382
-3.17E-07,-0.00666,0.24743083,0.0071146246
-3.16E-07,-0.01469,0.24743083,0.0071146246
-3.15E-07,0.009091,0.40553358,0.015019763
-3.14E-07,-0.02256,-0.0687747,0.0071146246
-3.13E-07,-0.02256,0.089328066,0.23636363
-3.12E-07,0.001217,0.24743083,0.086166009
-3.11E-07,-0.02256,0.089328066,0.015019763
-3.10E-07,-0.00666,-0.0687747,-0.032411069
-3.09E-07,0.009091,0.089328066,0.015019763
-3.08E-07,0.001217,0.089328066,0.038735177
-3.07E-07,-0.01469,0.24743083,0.015019763
-3.06E-07,0.009091,0.24743083,0.015019763
-3.05E-07,-0.01469,0.089328066,-0.00079051382
-3.04E-07,-0.02256,0.089328066,0.015019763
-3.03E-07,0.001217,0.40553358,0.015019763
-3.02E-07,-0.03043,0.24743083,0.0071146246
-3.01E-07,-0.02256,0.24743083,0.22845849
-3.00E-07,-0.01469,0.24743083,0.086166009
-2.99E-07,-0.03043,0.089328066,0.0071146246
-2.98E-07,-0.00666,0.089328066,-0.016600791
-2.97E-07,0.001217,0.24743083,0.022924902
-2.96E-07,-0.00666,0.24743083,0.046640318
-2.95E-07,-0.00666,0.089328066,0.015019763
-2.94E-07,0.001217,-0.0687747,0.0071146246
-2.93E-07,-0.01469,0.24743083,-0.00079051382
-2.92E-07,-0.01469,0.40553358,-0.00079051382
-2.91E-07,0.001217,-0.0687747,0.0071146246
-2.90E-07,-0.02256,0.089328066,0.030830039
-2.89E-07,0.001217,0.40553358,0.18893281
-2.88E-07,0.016965,0.089328066,0.062450591
-2.87E-07,0.001217,-0.0687747,-0.0086956518
-2.86E-07,-0.02256,0.24743083,-0.016600791
-2.85E-07,0.001217,0.40553358,0.030830039
-2.84E-07,-0.01469,0.24743083,0.022924902
-2.83E-07,-0.00666,0.40553358,0.015019763
-2.82E-07,-0.00666,0.089328066,0.0071146246
-2.81E-07,-0.00666,-0.0687747,-0.00079051382
-2.80E-07,0.009091,0.24743083,0.015019763
-2.79E-07,0.009091,0.24743083,-0.00079051382
-2.78E-07,-0.01469,-0.0687747,0.086166009
-2.77E-07,-0.01469,0.089328066,0.15731226
-2.76E-07,-0.02256,0.089328066,0.038735177
-2.75E-07,-0.02256,0.089328066,-0.0086956518
-2.74E-07,-0.03043,0.089328066,-0.00079051382
-2.73E-07,0.009091,0.24743083,0.030830039
-2.72E-07,-0.01469,0.089328066,0.022924902
-2.71E-07,-0.00666,0.24743083,0.015019763
-2.70E-07,0.001217,0.089328066,-0.00079051382
-2.69E-07,-0.00666,0.40553358,-0.00079051382
-2.68E-07,0.001217,0.089328066,0.0071146246
-2.67E-07,-0.03043,0.24743083,0.0071146246
-2.66E-07,-0.01469,0.089328066,0.17312253
-2.65E-07,-0.02256,0.089328066,0.1256917
-2.64E-07,-0.02256,0.24743083,0.030830039
-2.63E-07,-0.02256,0.089328066,-0.0086956518
-2.62E-07,-0.01469,0.089328066,0.0071146246
-2.61E-07,-0.01469,0.089328066,0.038735177
-2.60E-07,-0.00666,0.24743083,0.022924902
-2.59E-07,-0.01469,0.40553358,0.0071146246
-2.58E-07,-0.00666,0.089328066,-0.00079051382
-2.57E-07,-0.02256,0.24743083,0.0071146246
-2.56E-07,-0.03043,0.24743083,0.022924902
-2.55E-07,0.001217,0.24743083,0.0071146246
-2.54E-07,-0.00666,0.089328066,0.22055335
-2.53E-07,-0.02256,0.24743083,0.09407115
-2.52E-07,-0.00666,-0.22687747,0.022924902
-2.51E-07,-0.01469,0.24743083,-0.016600791
-2.50E-07,-0.00666,0.089328066,0.0071146246
-2.49E-07,0.001217,0.089328066,0.022924902
-2.48E-07,-0.01469,0.089328066,0.0071146246
-2.47E-07,-0.01469,0.24743083,-0.00079051382
-2.46E-07,-0.01469,0.089328066,-0.00079051382
-2.45E-07,-0.02256,0.24743083,-0.00079051382
-2.44E-07,-0.02256,0.40553358,0.022924902
-2.43E-07,-0.00666,0.089328066,-0.00079051382
-2.42E-07,-0.00666,-0.0687747,0.22845849
-2.41E-07,-0.00666,0.24743083,0.086166009
-2.40E-07,-0.00666,0.40553358,0.0071146246
-2.39E-07,-0.01469,0.089328066,-0.024505928
-2.38E-07,-0.02256,0.089328066,0.0071146246
-2.37E-07,-0.03831,0.24743083,0.015019763
-2.36E-07,0.001217,0.24743083,0.015019763
-2.35E-07,-0.00666,0.24743083,-0.00079051382
-2.34E-07,-0.03043,0.089328066,-0.00079051382
-2.33E-07,-0.01469,0.24743083,0.0071146246
-2.32E-07,-0.02256,0.24743083,0.0071146246
-2.31E-07,-0.00666,0.40553358,0.030830039
-2.30E-07,-0.00666,0.089328066,0.18893281
-2.29E-07,-0.02256,0.24743083,0.070355728
-2.28E-07,-0.03043,0.089328066,-0.00079051382
-2.27E-07,-0.02256,0.24743083,-0.0086956518
-2.26E-07,-0.03043,-0.0687747,0.030830039
-2.25E-07,-0.02256,-0.0687747,0.022924902
-2.24E-07,-0.02256,0.24743083,0.022924902
-2.23E-07,0.001217,-0.0687747,-0.00079051382
-2.22E-07,-0.02256,0.40553358,0.0071146246
-2.21E-07,-0.01469,0.24743083,-0.00079051382
-2.20E-07,0.001217,0.24743083,0.015019763
-2.19E-07,0.001217,0.089328066,0.070355728
-2.18E-07,-0.01469,0.089328066,0.17312253
-2.17E-07,0.016965,-0.0687747,0.054545455
-2.16E-07,0.016965,0.40553358,-0.0086956518
-2.15E-07,-0.01469,0.24743083,-0.0086956518
-2.14E-07,0.009091,-0.0687747,0.030830039
-2.13E-07,-0.02256,0.089328066,0.022924902
-2.12E-07,-0.02256,0.24743083,0.0071146246
-2.11E-07,0.001217,0.24743083,0.0071146246
-2.10E-07,-0.00666,0.089328066,0.0071146246
-2.09E-07,-0.02256,0.24743083,0.0071146246
-2.08E-07,-0.00666,0.24743083,0.0071146246
-2.07E-07,-0.02256,-0.0687747,0.14150198
-2.06E-07,-0.03043,0.24743083,0.13359684
-2.05E-07,-0.03043,0.24743083,0.046640318
-2.04E-07,-0.02256,-0.22687747,-0.0086956518
-2.03E-07,-0.00666,0.24743083,-0.00079051382
-2.02E-07,-0.03043,0.089328066,0.022924902
-2.01E-07,0.009091,0.089328066,0.022924902
-2.00E-07,-0.02256,0.089328066,-0.00079051382
-1.99E-07,-0.01469,0.40553358,0.0071146246
-1.98E-07,-0.00666,-0.0687747,0.0071146246
-1.97E-07,-0.01469,0.089328066,0.0071146246
-1.96E-07,0.001217,0.40553358,0.0071146246
-1.95E-07,-0.00666,0.56363636,0.21264823
-1.94E-07,-0.02256,-0.0687747,0.10988142
-1.93E-07,-0.00666,0.24743083,0.022924902
-1.92E-07,-0.01469,0.40553358,-0.024505928
-1.91E-07,-0.01469,0.24743083,0.015019763
-1.90E-07,-0.00666,0.24743083,0.022924902
-1.89E-07,0.001217,0.089328066,0.015019763
-1.88E-07,0.009091,0.089328066,-0.00079051382
-1.87E-07,-0.01469,0.089328066,-0.00079051382
-1.86E-07,-0.01469,0.24743083,0.0071146246
-1.85E-07,0.001217,0.089328066,0.038735177
-1.84E-07,0.009091,-0.0687747,0.0071146246
-1.83E-07,-0.02256,0.24743083,0.22845849
-1.82E-07,0.001217,0.089328066,0.09407115
-1.81E-07,-0.02256,0.089328066,0.015019763
-1.80E-07,-0.01469,0.24743083,-0.024505928
-1.79E-07,-0.00666,0.089328066,0.015019763
-1.78E-07,-0.00666,0.24743083,0.038735177
-1.77E-07,-0.00666,0.089328066,0.022924902
-1.76E-07,-0.00666,0.089328066,0.0071146246
-1.75E-07,-0.01469,-0.0687747,0.0071146246
-1.74E-07,-0.02256,0.24743083,0.015019763
-1.73E-07,-0.01469,0.089328066,0.0071146246
-1.72E-07,-0.03043,-0.0687747,0.015019763
-1.71E-07,-0.01469,0.089328066,0.21264823
-1.70E-07,0.001217,0.40553358,0.070355728
-1.69E-07,-0.03043,0.24743083,0.0071146246
-1.68E-07,-0.01469,0.089328066,-0.016600791
-1.67E-07,0.009091,0.089328066,0.022924902
-1.66E-07,-0.01469,0.40553358,0.030830039
-1.65E-07,-0.00666,0.089328066,0.0071146246
-1.64E-07,-0.02256,0.089328066,-0.00079051382
-1.63E-07,0.001217,0.24743083,-0.00079051382
-1.62E-07,-0.03043,0.089328066,0.015019763
-1.61E-07,-0.03043,0.40553358,0.015019763
-1.60E-07,0.016965,0.24743083,0.054545455
-1.59E-07,-0.02256,0.089328066,0.17312253
-1.58E-07,0.001217,0.24743083,0.062450591
-1.57E-07,-0.02256,0.24743083,-0.0086956518
-1.56E-07,0.009091,0.24743083,-0.016600791
-1.55E-07,0.009091,0.56363636,0.022924902
-1.54E-07,-0.03043,0.24743083,0.030830039
-1.53E-07,-0.02256,0.24743083,0.0071146246
-1.52E-07,-0.01469,0.24743083,-0.00079051382
-1.51E-07,-0.03043,0.24743083,0.0071146246
-1.50E-07,-0.01469,0.40553358,0.015019763
-1.49E-07,-0.02256,0.24743083,0.015019763
-1.48E-07,-0.01469,0.089328066,0.11778656
-1.47E-07,-0.03043,0.24743083,0.15731226
-1.46E-07,0.016965,0.24743083,0.046640318
-1.45E-07,-0.00666,0.089328066,-0.024505928
-1.44E-07,-0.02256,0.24743083,-0.0086956518
-1.43E-07,-0.02256,0.089328066,0.030830039
-1.42E-07,-0.00666,0.24743083,0.030830039
-1.41E-07,-0.01469,0.089328066,0.0071146246
-1.40E-07,-0.00666,0.089328066,-0.00079051382
-1.39E-07,-0.01469,0.24743083,-0.0086956518
-1.38E-07,0.001217,0.24743083,0.015019763
-1.37E-07,-0.03043,0.089328066,0.0071146246
-1.36E-07,-0.01469,0.40553358,0.18102767
-1.35E-07,0.009091,0.089328066,0.1256917
-1.34E-07,-0.03043,0.089328066,0.046640318
-1.33E-07,-0.01469,0.089328066,-0.0086956518
-1.32E-07,-0.02256,0.40553358,0.0071146246
-1.31E-07,-0.01469,-0.0687747,0.038735177
-1.30E-07,-0.00666,0.089328066,0.015019763
-1.29E-07,-0.01469,0.40553358,0.0071146246
-1.28E-07,-0.03043,0.24743083,-0.00079051382
-1.27E-07,-0.01469,0.24743083,0.0071146246
-1.26E-07,0.001217,0.089328066,0.015019763
-1.25E-07,-0.02256,0.089328066,0.022924902
-1.24E-07,-0.00666,-0.0687747,0.22055335
-1.23E-07,-0.00666,0.24743083,0.09407115
-1.22E-07,0.001217,0.24743083,0.015019763
-1.21E-07,-0.00666,0.24743083,-0.016600791
-1.20E-07,-0.02256,0.24743083,0.015019763
-1.19E-07,-0.00666,0.24743083,0.015019763
-1.18E-07,-0.04618,0.40553358,0.022924902
-1.17E-07,-0.02256,-0.0687747,-0.00079051382
-1.16E-07,-0.02256,0.089328066,-0.0086956518
-1.15E-07,-0.01469,-0.0687747,0.015019763
-1.14E-07,-0.00666,0.24743083,0.022924902
-1.13E-07,-0.02256,0.089328066,-0.00079051382
-1.12E-07,0.009091,0.089328066,0.21264823
-1.11E-07,-0.01469,0.089328066,0.070355728
-1.10E-07,-0.04618,0.089328066,-0.00079051382
-1.09E-07,-0.02256,0.24743083,-0.016600791
-1.08E-07,-0.02256,0.24743083,0.022924902
-1.07E-07,-0.00666,0.24743083,0.030830039
-1.06E-07,-0.02256,-0.0687747,0.015019763
-1.05E-07,0.001217,0.40553358,-0.00079051382
-1.04E-07,-0.01469,-0.0687747,-0.0086956518
-1.03E-07,-0.03831,0.24743083,0.0071146246
-1.02E-07,-0.03043,0.40553358,0.0071146246
-1.01E-07,-0.02256,0.24743083,0.030830039
-9.98E-08,-0.01469,-0.0687747,0.19683795
-9.88E-08,0.024839,0.24743083,0.070355728
-9.78E-08,-0.02256,0.40553358,0.0071146246
-9.68E-08,-0.01469,0.24743083,-0.0086956518
-9.58E-08,0.001217,0.24743083,0.022924902
-9.48E-08,-0.01469,0.089328066,0.022924902
-9.38E-08,-0.01469,0.24743083,0.015019763
-9.28E-08,-0.02256,0.40553358,-0.0086956518
-9.18E-08,-0.01469,0.089328066,0.0071146246
-9.08E-08,-0.02256,-0.0687747,0.015019763
-8.98E-08,-0.02256,0.24743083,0.015019763
-8.88E-08,-0.01469,0.24743083,0.09407115
-8.78E-08,-0.02256,0.24743083,0.15731226
-8.68E-08,-0.01469,0.24743083,0.038735177
-8.58E-08,-0.00666,0.40553358,-0.016600791
-8.48E-08,-0.00666,0.24743083,-0.00079051382
-8.38E-08,0.001217,-0.0687747,0.022924902
-8.28E-08,0.001217,-0.0687747,0.030830039
-8.18E-08,-0.01469,-0.0687747,-0.00079051382
-8.08E-08,-0.02256,0.089328066,0.0071146246
-7.98E-08,-0.02256,0.089328066,0.0071146246
-7.88E-08,-0.02256,0.089328066,0.022924902
-7.78E-08,-0.02256,0.089328066,0.0071146246
-7.68E-08,-0.02256,0.40553358,0.15731226
-7.58E-08,-0.01469,0.24743083,0.13359684
-7.48E-08,0.001217,0.24743083,0.038735177
-7.38E-08,-0.02256,0.24743083,-0.016600791
-7.28E-08,-0.01469,0.40553358,0.0071146246
-7.18E-08,0.001217,0.089328066,0.015019763
-7.08E-08,-0.02256,0.24743083,0.030830039
-6.98E-08,-0.02256,0.24743083,0.0071146246
-6.88E-08,-0.00666,0.24743083,0.0071146246
-6.78E-08,-0.00666,0.089328066,0.015019763
-6.68E-08,0.001217,0.089328066,0.015019763
-6.58E-08,-0.01469,0.089328066,0.0071146246
-6.48E-08,-0.00666,0.24743083,0.22055335
-6.38E-08,-0.02256,0.089328066,0.10988142
-6.28E-08,-0.02256,0.24743083,0.030830039
-6.18E-08,-0.02256,0.089328066,-0.016600791
-6.08E-08,0.009091,0.089328066,-0.00079051382
