t,single,double,single,double
0.0000000693,0.006205536,0.006205536,0.007312,0.015217364
0.0000000695,0.005415022,0.006205536,0.007312,0.023122489
0.0000000697,0.005415022,0.006205536,0.007312,0.019169927
0.0000000699,0.006205536,0.006996051,0.007312,0.019169927
0.0000000701,0.006996051,0.006205536,0.007312,0.011264801
0.0000000703,0.006996051,0.006996051,0.015217,0.015217364
0.0000000705,0.006205536,0.006996051,0.133794,0.06660077
0.0000000707,0.005415022,0.006205536,0.268182,0.19703555
0.0000000709,0.005415022,0.007786565,0.331423,0.29980236
0.0000000711,0.006996051,0.007786565,0.299802,0.33537549
0.0000000713,0.018853761,0.02438736,0.228656,0.28399208
0.0000000715,0.057588939,0.067075104,0.193083,0.23656124
0.0000000717,0.088418975,0.096324116,0.145652,0.19308299
0.0000000719,0.09711463,0.10264823,0.110079,0.14565215
0.0000000721,0.083675891,0.084466405,0.102174,0.12193674
0.0000000723,0.067865618,0.068656132,0.082411,0.10217389
0.0000000725,0.057588939,0.058379449,0.066601,0.082411051
0.0000000727,0.043359689,0.044150203,0.054743,0.074505895
0.0000000729,0.035454549,0.039407119,0.03498,0.062648207
0.0000000731,0.033083007,0.032292496,0.03498,0.054743052
0.0000000733,0.028339926,0.026758894,0.031028,0.034980208
0.0000000735,0.022806332,0.025177874,0.027075,0.034980208
0.0000000737,0.018853761,0.020434789,0.023122,0.031027645
0.0000000739,0.016482219,0.018063247,0.023122,0.027075082
0.0000000741,0.014901191,0.015691705,0.015217,0.027075082
0.0000000743,0.013320163,0.014110677,0.011265,0.027075082
0.0000000745,0.012529649,0.013320163,0.011265,0.023122489
0.0000000747,0.010158107,0.012529649,0.007312,0.015217364
0.0000000749,0.010158107,0.009367593,0.007312,0.023122489
0.0000000751,0.009367593,0.010158107,0.011265,0.019169927
0.0000000753,0.008577079,0.009367593,0.007312,0.023122489
0.0000000755,0.009367593,0.007786565,0.011265,0.023122489
0.0000000757,0.007786565,0.008577079,0.011265,0.027075082
0.0000000759,0.008577079,0.008577079,0.007312,0.015217364
0.0000000761,0.006996051,0.008577079,0.011265,0.015217364
0.0000000763,0.006205536,0.007786565,0.00336,0.046837926
0.0000000765,0.006996051,0.008577079,0.00336,0.14565215
0.0000000767,0.007786565,0.006996051,0.007312,0.26422924
0.0000000769,0.006996051,0.007786565,0.00336,0.31956521
0.0000000771,0.006996051,0.007786565,0.011265,0.29189721
0.0000000773,0.006996051,0.006996051,-0.00059,0.25237152
0.0000000775,0.005415022,0.008577079,0.00336,0.20494069
0.0000000777,0.006205536,0.007786565,0.011265,0.16146243
0.0000000779,0.005415022,0.006996051,0.007312,0.13379443
0.0000000781,0.004624508,0.007786565,0.007312,0.11007902
0.0000000783,0.005415022,0.006996051,0.00336,0.094268739
0.0000000785,0.005415022,0.007786565,-0.00059,0.082411051
0.0000000787,0.006205536,0.007786565,-0.00455,0.06660077
0.0000000789,0.006205536,0.006205536,0.00336,0.050790489
0.0000000791,0.004624508,0.005415022,0.00336,0.042885333
0.0000000793,0.003833994,0.004624508,0.00336,0.03893277
0.0000000795,0.005415022,0.005415022,0.00336,0.027075082
0.0000000797,0.005415022,0.004624508,0.00336,0.023122489
0.0000000799,0.004624508,0.003833994,0.00336,0.031027645
0.0000000801,0.004624508,0.004624508,0.00336,0.027075082
0.0000000803,0.003833994,0.003833994,0.011265,0.027075082
0.0000000805,0.004624508,0.005415022,0.007312,0.019169927
0.0000000807,0.004624508,0.006205536,0.007312,0.019169927
0.0000000809,0.003833994,0.004624508,0.007312,0.019169927
0.0000000811,0.005415022,0.006205536,0.007312,0.019169927
0.0000000813,0.006205536,0.006205536,0.007312,0.019169927
0.0000000815,0.006205536,0.006996051,0.007312,0.015217364
0.0000000817,0.005415022,0.006205536,0.00336,0.019169927
0.0000000819,0.005415022,0.005415022,0.00336,0.023122489
0.0000000821,0.006205536,0.006996051,0.015217,0.019169927
0.0000000823,0.006996051,0.007786565,0.125889,0.054743052
0.0000000825,0.005415022,0.006205536,0.264229,0.19308299
0.0000000827,0.004624508,0.008577079,0.323518,0.29980236
0.0000000829,0.005415022,0.006205536,0.303755,0.33537549
0.0000000831,0.016482219,0.020434789,0.244466,0.28794464
0.0000000833,0.056007911,0.064703561,0.197036,0.23656124
0.0000000835,0.087628461,0.093952574,0.145652,0.19308299
0.0000000837,0.097905144,0.10264823,0.114032,0.14565215
0.0000000839,0.085256919,0.085256919,0.102174,0.12193674
0.0000000841,0.068656132,0.069446646,0.082411,0.10217389
0.0000000843,0.058379449,0.059960477,0.066601,0.082411051
0.0000000845,0.044150203,0.044150203,0.054743,0.06660077
0.0000000847,0.038616605,0.039407119,0.05079,0.058695614
0.0000000849,0.032292496,0.035454549,0.042885,0.050790489
0.0000000851,0.027549412,0.028339926,0.038933,0.042885333
0.0000000853,0.023596846,0.02438736,0.027075,0.031027645
0.0000000855,0.019644275,0.021225303,0.023122,0.027075082
0.0000000857,0.016482219,0.018853761,0.01917,0.023122489
0.0000000859,0.014901191,0.016482219,0.015217,0.027075082
0.0000000861,0.013320163,0.014110677,0.007312,0.023122489
0.0000000863,0.012529649,0.013320163,0.011265,0.023122489
0.0000000865,0.010158107,0.012529649,0.011265,0.023122489
0.0000000867,0.010158107,0.010948621,0.011265,0.019169927
