t,ch1,ch2
1.03E-06,0.72173911,0.015019763
1.03E-06,0.87984192,0.015019763
1.03E-06,0.56363636,0.015019763
1.03E-06,0.56363636,0.015019763
1.03E-06,0.56363636,0.015019763
1.03E-06,0.40553358,0.015019763
1.03E-06,0.87984192,0.007114625
1.03E-06,0.72173911,0.007114625
1.03E-06,0.40553358,0.015019763
1.03E-06,0.40553358,0.015019763
1.04E-06,0.72173911,0.007114625
1.04E-06,0.56363636,0.007114625
1.04E-06,0.56363636,0.015019763
1.04E-06,0.56363636,-0.000790514
1.04E-06,0.87984192,-0.000790514
1.04E-06,0.40553358,0.015019763
1.04E-06,0.24743083,0.015019763
1.04E-06,0.72173911,0.015019763
1.04E-06,0.56363636,0.015019763
1.04E-06,0.56363636,0.015019763
1.05E-06,0.40553358,0.007114625
1.05E-06,0.56363636,0.007114625
1.05E-06,0.72173911,0.015019763
1.05E-06,0.24743083,0.007114625
1.05E-06,0.40553358,0.007114625
1.05E-06,0.56363636,0.015019763
1.05E-06,0.40553358,0.007114625
1.05E-06,0.56363636,0.015019763
1.05E-06,0.56363636,-0.008695652
1.05E-06,0.40553358,0.007114625
1.06E-06,0.24743083,0.007114625
1.06E-06,0.40553358,-0.008695652
1.06E-06,0.56363636,0.007114625
1.06E-06,0.24743083,-0.000790514
1.06E-06,0.56363636,0.007114625
1.06E-06,0.40553358,-0.008695652
1.06E-06,0.24743083,-0.008695652
1.06E-06,0.24743083,-0.000790514
1.06E-06,0.40553358,0.007114625
1.06E-06,0.24743083,-0.008695652
1.07E-06,0.40553358,-0.000790514
1.07E-06,0.40553358,-0.000790514
1.07E-06,0.40553358,-0.000790514
1.07E-06,0.40553358,-0.008695652
1.07E-06,0.089328066,-0.008695652
1.07E-06,0.56363636,-0.000790514
1.07E-06,0.24743083,-0.008695652
1.07E-06,0.24743083,-0.000790514
1.07E-06,0.089328066,-0.008695652
1.07E-06,0.089328066,-0.008695652
1.08E-06,0.24743083,-0.000790514
1.08E-06,0.24743083,-0.000790514
1.08E-06,0.24743083,-0.000790514
1.08E-06,0.089328066,-0.000790514
1.08E-06,0.089328066,-0.008695652
1.08E-06,0.24743083,-0.016600791
1.08E-06,-0.0687747,-0.008695652
1.08E-06,0.089328066,-0.008695652
1.08E-06,0.24743083,-0.000790514
1.08E-06,0.24743083,-0.000790514
1.09E-06,0.089328066,-0.008695652
1.09E-06,-0.0687747,-0.016600791
1.09E-06,0.089328066,-0.008695652
1.09E-06,0.089328066,-0.000790514
1.09E-06,-0.0687747,-0.008695652
1.09E-06,0.089328066,-0.008695652
1.09E-06,-0.0687747,-0.000790514
1.09E-06,0.24743083,-0.008695652
1.09E-06,0.089328066,-0.000790514
1.09E-06,-0.0687747,-0.016600791
1.10E-06,-0.0687747,-0.008695652
1.10E-06,-0.0687747,-0.008695652
1.10E-06,0.089328066,0.007114625
1.10E-06,0.089328066,0.015019763
1.10E-06,0.089328066,0.007114625
1.10E-06,-0.0687747,-0.008695652
1.10E-06,0.089328066,-0.000790514
1.10E-06,0.24743083,-0.000790514
1.10E-06,-0.0687747,-0.000790514
1.10E-06,0.089328066,-0.008695652
1.11E-06,0.089328066,0.007114625
1.11E-06,-0.0687747,0.007114625
1.11E-06,0.24743083,-0.000790514
1.11E-06,-0.0687747,-0.008695652
1.11E-06,-0.0687747,-0.000790514
1.11E-06,0.089328066,-0.000790514
1.11E-06,-0.0687747,-0.000790514
1.11E-06,-0.0687747,-0.000790514
1.11E-06,-0.0687747,0.007114625
1.11E-06,-0.0687747,0.007114625
1.12E-06,0.089328066,-0.000790514
1.12E-06,0.089328066,0.015019763
1.12E-06,-0.22687747,-0.000790514
1.12E-06,-0.0687747,-0.008695652
1.12E-06,-0.22687747,-0.000790514
1.12E-06,-0.22687747,-0.000790514
1.12E-06,-0.0687747,-0.008695652
1.12E-06,-0.0687747,-0.000790514
1.12E-06,0.089328066,-0.000790514
1.12E-06,-0.22687747,-0.000790514
1.13E-06,-0.0687747,-0.000790514
1.13E-06,-0.38498023,-0.024505928
1.13E-06,-0.0687747,0.015019763
1.13E-06,-0.0687747,-0.008695652
1.13E-06,-0.0687747,-0.000790514
1.13E-06,-0.38498023,-0.016600791
1.13E-06,-0.0687747,-0.000790514
1.13E-06,-0.0687747,-0.008695652
1.13E-06,-0.22687747,-0.008695652
1.13E-06,-0.0687747,-0.000790514
