t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.011575487,0.039999999,0.039999999,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138
0.011575637,0.039999999,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384,0.039999999,-0.039051384,0.11905138,-0.039051384
0.011575788,0.11905138,0.039999999,0.039999999,-0.039051384,0.039999999,0.19810277,0.11905138,0.11905138,0.11905138,0.11905138
0.011575938,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138
0.011576088,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,-0.039051384
0.011576238,0.039999999,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277,0.11905138
0.011576388,0.19810277,0.039999999,0.19810277,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.19810277,0.039999999
0.011576539,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.19810277,0.19810277,-0.039051384,0.039999999
0.011576689,0.039999999,-0.039051384,0.19810277,0.11905138,0.039999999,-0.039051384,0.11905138,0.039999999,0.039999999,0.039999999
0.011576839,0.039999999,-0.039051384,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999
0.011576989,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999
0.011577139,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138
0.01157729,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138
0.01157744,0.039999999,0.039999999,0.19810277,0.039999999,0.11905138,0.11905138,0.039999999,-0.039051384,0.11905138,0.11905138
0.01157759,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,0.19810277,0.039999999,0.11905138,0.039999999,0.19810277
0.01157774,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999
0.01157789,0.19810277,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999
0.011578041,-0.039051384,0.039999999,0.11905138,0.11905138,0.19810277,-0.039051384,0.11905138,-0.039051384,0.11905138,0.11905138
0.011578191,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138
0.011578341,-0.039051384,0.039999999,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999
0.011578491,0.039999999,-0.039051384,5.17834,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999
0.011578641,0.11905138,0.11905138,7.3917785,0.11905138,0.19810277,0.039999999,0.039999999,-0.039051384,0.11905138,0.11905138
0.011578792,0.039999999,0.19810277,0.90956521,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999
0.011578942,0.039999999,0.039999999,-4.940237,0.11905138,0.039999999,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138
0.011579092,0.11905138,0.19810277,-3.7544665,0.19810277,0.19810277,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999
0.011579242,0.11905138,0.039999999,2.0162847,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138,0.039999999,0.039999999
0.011579392,-0.039051384,0.11905138,3.5182607,0.19810277,0.19810277,0.039999999,0.039999999,0.11905138,-0.039051384,0.11905138
0.011579543,0.039999999,0.11905138,0.51430833,0.19810277,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.11905138
0.011579693,0.039999999,0.11905138,-1.4619763,0.11905138,0.11905138,0.11905138,0.19810277,-0.039051384,0.039999999,0.039999999
0.011579843,0.19810277,0.19810277,-0.75051379,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.19810277,0.039999999
0.011579993,0.11905138,0.039999999,0.51430833,0.19810277,0.039999999,0.11905138,-0.039051384,-0.039051384,0.039999999,0.11905138
0.011580143,0.11905138,0.039999999,0.51430833,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.039999999,-0.039051384
0.011580293,0.11905138,0.11905138,-0.11810277,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999
0.011580444,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999
0.011580594,0.11905138,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,-0.039051384
0.011580744,0.11905138,0.039999999,0.11905138,0.039999999,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999
0.011580894,0.11905138,0.039999999,-0.039051384,0.11905138,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138
0.011581044,0.11905138,0.11905138,0.19810277,0.039999999,0.19810277,-0.039051384,0.039999999,0.19810277,0.039999999,0.11905138
0.011581195,0.19810277,-0.039051384,0.19810277,0.11905138,0.039999999,0.19810277,0.11905138,0.039999999,0.039999999,0.11905138
0.011581345,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,-0.039051384
0.011581495,0.039999999,0.11905138,0.19810277,0.039999999,-0.039051384,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999
0.011581645,-0.039051384,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011581795,-0.11810277,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277
0.011581946,0.039999999,0.039999999,-0.039051384,0.19810277,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384,0.039999999
0.011582096,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384,0.11905138
0.011582246,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011582396,5.020237,0.27715415,0.11905138,0.19810277,-0.039051384,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999
0.011582546,7.628933,0.19810277,0.039999999,-0.039051384,0.11905138,0.19810277,0.11905138,0.039999999,0.19810277,0.11905138
0.011582697,1.1467193,0.11905138,0.11905138,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011582847,-4.940237,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138
0.011582997,-3.7544665,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,0.19810277,0.039999999,0.11905138,0.039999999
