t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
1.42E-07,6.6488533,6.6488533,6.5698023,6.6488533,6.5698023,6.5698023,6.4907513,6.5698023,6.5698023,6.5698023,6.6488533,6.6488533,6.5698023,6.5698023,6.6488533,6.6488533,6.4907513,6.4907513,6.4907513,6.6488533,6.6488533
1.42E-07,6.5698023,6.6488533,6.4907513,6.6488533,6.6488533,6.6488533,6.5698023,6.4907513,6.7279053,6.6488533,6.5698023,6.6488533,6.6488533,6.6488533,6.4907513,6.6488533,6.4907513,6.4907513,6.4116993,6.6488533,6.4116993
1.42E-07,6.5698023,6.6488533,6.5698023,6.6488533,6.5698023,6.6488533,6.7279053,6.5698023,6.6488533,6.6488533,6.5698023,6.6488533,6.6488533,6.5698023,6.5698023,6.6488533,6.4907513,6.4907513,6.5698023,6.7279053,6.3326483
1.42E-07,6.5698023,6.5698023,6.5698023,6.6488533,6.7279053,6.6488533,6.6488533,6.5698023,6.5698023,6.6488533,6.6488533,6.6488533,6.6488533,6.5698023,6.6488533,6.6488533,6.4907513,6.4907513,6.4116993,6.6488533,6.4907513
1.43E-07,6.5698023,6.5698023,6.7279053,6.6488533,6.6488533,6.6488533,6.5698023,6.5698023,6.7279053,6.6488533,6.5698023,6.8069563,6.6488533,6.4907513,6.4907513,6.5698023,6.6488533,6.4907513,6.5698023,6.5698023,6.5698023
1.43E-07,6.7279053,6.6488533,6.6488533,6.5698023,6.7279053,6.6488533,6.7279053,6.5698023,6.7279053,6.6488533,6.7279053,6.6488533,6.6488533,6.4907513,6.7279053,6.4907513,6.5698023,6.4907513,6.4907513,6.7279053,6.5698023
1.43E-07,6.8069563,6.5698023,6.7279053,6.7279053,6.7279053,6.7279053,6.7279053,6.6488533,6.8069563,6.8860083,6.7279053,6.5698023,6.7279053,6.5698023,6.5698023,6.7279053,6.4907513,6.4907513,6.4116993,6.7279053,6.6488533
1.43E-07,6.7279053,6.7279053,6.7279053,6.6488533,6.7279053,6.6488533,6.6488533,6.6488533,6.8069563,6.7279053,6.7279053,6.6488533,6.6488533,6.5698023,6.5698023,6.4907513,6.5698023,6.5698023,6.4116993,6.7279053,6.6488533
1.43E-07,6.8069563,6.6488533,6.6488533,6.5698023,6.7279053,6.6488533,6.5698023,6.7279053,6.8069563,6.6488533,6.7279053,6.7279053,6.5698023,6.6488533,6.6488533,6.4907513,6.6488533,6.6488533,6.3326483,6.8860083,6.6488533
1.44E-07,6.7279053,6.5698023,6.7279053,6.7279053,6.6488533,6.6488533,6.5698023,6.8069563,6.8069563,6.8069563,6.5698023,6.8069563,6.7279053,6.6488533,6.6488533,6.6488533,6.6488533,6.6488533,6.4907513,6.8860083,6.7279053
1.44E-07,6.7279053,6.8069563,6.6488533,6.7279053,6.7279053,6.7279053,6.5698023,6.7279053,6.7279053,6.8069563,6.7279053,6.8069563,6.7279053,6.6488533,6.5698023,6.5698023,6.6488533,6.5698023,6.4907513,6.8069563,6.6488533
1.44E-07,6.8069563,6.7279053,6.8069563,6.8860083,6.8860083,6.6488533,6.7279053,6.8069563,6.8069563,6.8860083,6.8069563,6.8069563,6.7279053,6.7279053,6.6488533,6.7279053,6.6488533,6.6488533,6.4907513,6.8069563,6.5698023
1.44E-07,6.7279053,6.6488533,6.7279053,6.8069563,6.8069563,6.6488533,6.8069563,6.8069563,6.9650593,6.8860083,6.8069563,6.8069563,6.7279053,6.6488533,6.7279053,6.7279053,6.6488533,6.6488533,6.5698023,6.8860083,6.5698023
